Method_Calls Precision varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,49.75,49.78,49.56,47.44,46.98
60,50.01,50.57,50.02,48.13,47.97
70,51.23,51.35,51.12,49.49,49.09
80,51.27,51.38,51.16,50.15,49.59
90,53.21,52.98,52.54,51.03,49.97
100,55.24,55.68,54.02,52.35,50.03
110,59.23,60.25,56.02,54.04,51.22
120,61.22,62.25,59.05,56.01,52.23
130,60.22,61.22,59.01,55.97,52.22
140,60.01,60.91,58.15,55.04,51.03
150,59.23,59.58,57.54,54.45,50.97
160,59.20,59.44,56.84,54.04,50.03
170,58.93,58.91,55.99,53.99,49.77
180,57.03,57.65,55.54,53.94,48.52
190,56.98,57.05,55.05,53.47,47.99
200,55.23,56.56,55.15,53.43,47.03
Conditionals Precision varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,43.21,43.25,43.06,41.05,40.77
60,43.98,43.98,43.54,42.15,41.25
70,44.57,44.78,44.87,43.05,42.66
80,45.58,45.89,44.87,44.05,43.04
90,47.67,48.52,46.45,45.56,44.88
100,48.01,48.25,47.88,46.65,45.58
110,49.44,49.98,48.14,47.47,46.78
120,49.73,50.02,49.01,48.44,47.69
130,49.54,49.54,48.77,48.14,47.03
140,48.44,48.89,48.15,48.11,46.89
150,47.65,47.95,47.95,47.58,46.77
160,46.65,47.02,46.87,47.06,46.08
170,44.02,46.55,46.66,46.66,45.87
180,43.25,45.05,45.68,45.45,45.09
190,42.28,44.45,45.15,45.25,44.56
200,41.54,43.25,45.12,45.19,44.03
Try-Catch Precision varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,27.24,26.98,26.58,25.14,25.00
60,27.98,28.15,26.85,26.54,25.68
70,30.01,30.54,30.65,26.66,26.02
80,31.01,31.52,31.15,28.28,27.12
90,28.59,28.89,29.57,29.54,28.25
100,28.57,28.65,28.47,29.55,28.98
110,29.02,29.58,29.14,29.55,29.03
120,29.62,30.05,29.47,29.55,29.44
130,29.54,29.98,29.33,29.02,28.97
140,28.59,28.95,28.99,28.77,28.66
150,28.01,28.06,28.06,28.07,27.58
160,27.14,27.58,27.98,27.79,27.03
170,26.15,26.48,26.78,26.78,26.44
180,25.25,25.29,25.78,25.24,25.11
190,23.95,24.15,25.16,25.08,24.87
