Precision
Neurons,Method_Calls,Conditionals,Try-Catch,Signature,Return,Other
10,35.34,38.45,19.08,37.11,22.02,51.25
20,35.98,38.97,21.02,38.15,22.88,52.74
30,36.46,39.15,22.58,38.55,23.35,53.28
40,38.49,41.06,24.14,39.02,24.29,54.66
50,40.78,42.06,25.00,39.58,25.71,55.35
60,38.44,41.12,24.22,38.27,24.97,54.23
70,37.23,40.04,23.72,37.44,24.78,54.01
80,36.22,39.55,23.16,36.55,24.07,53.55
90,35.99,38.45,22.55,36.02,23.15,53.01
100,35.04,37.65,22.02,35.66,23.17,52.78
110,34.68,37.03,21.47,35.11,22.77,52.14
120,33.99,36.15,21.07,34.57,22.11,51.11
130,33.14,35.96,20.06,34.19,21.05,50.89
140,32.12,35.27,19.98,33.27,20.58,50.47
150,32.06,35.03,19.74,32.97,20.14,50.07
160,31.58,34.55,19.01,32.05,19.97,49.49
170,31.11,34.05,18.77,31.77,19.17,49.06
180,30.87,33.27,17.29,31.17,18.58,48.27
190,30.02,33.03,16.55,30.09,18.18,47.74
200,29.48,32.26,16.03,30.08,17.77,47.03

Recall
Neurons,Method_Calls,Conditionals,Try-Catch,Signature,Return,Other
10,10.28,29.79,27.79,28.15,27.78,85.26
20,11.65,30.57,28.99,28.96,28.08,86.67
30,12.05,32.00,29.57,29.47,29.35,87.79
40,13.15,34.27,30.12,30.15,30.08,88.55
50,14.48,35.81,31.58,30.65,31.03,89.97
60,14.05,34.99,30.12,30.33,31.29,89.17
70,13.77,34.19,29.77,29.64,30.44,88.06
80,13.09,33.25,29.17,29.16,30.17,87.45
90,12.55,32.68,28.56,28.47,29.47,87.17
100,12.07,32.16,28.08,28.22,29.13,86.23
110,11.88,31.45,27.77,27.52,28.52,85.44
120,11.11,31.16,27.37,27.02,28.06,85.23
130,10.06,30.58,26.77,26.45,27.77,84.77
140,9.77,30.17,26.15,26.46,27.13,84.19
150,9.16,29.77,25.57,25.91,26.55,83.25
160,8.77,29.13,24.96,25.11,26.03,82.24
170,8.24,28.47,24.32,24.72,25.88,81.65
180,7.79,27.96,23.23,24.16,25.14,80.06
190,7.56,27.58,22.57,23.35,24.66,79.99
200,7.41,26.78,21.66,22.29,23.64,78.47
