CNN_Performance_STOPWORD_REMOVAL,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,34.44,38.32,17.39,35.00,23.33,57.35
Recall,13.36,34.45,26.67,28.00,30.43,88.64
F_measure,19.25,36.28,21.05,31.11,26.42,69.64
CNN_Performance_NO_PREPROCESSING,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,40.96,41.75,26.32,38.10,28.00,55.45
Recall,14.66,36.13,33.33,32.00,30.43,89.38
F_measure,21.59,38.74,29.41,34.78,29.17,68.44
CNN_Performance_STEMMING,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,46.43,46.53,35.71,46.15,37.50,54.00
Recall,16.81,39.50,33.33,36.00,39.13,89.01
F_measure,24.68,42.73,34.48,40.45,38.30,67.22
CNN_Performance_STEMMING_&_STOPWORD_REMOVAL,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,32.94,35.64,13.33,32.35,20.00,51.90
Recall,12.07,30.25,13.33,22.00,26.09,84.98
F_measure,17.67,32.73,13.33,26.19,22.64,64.44
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_16,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,37.77,38.12,22.77,36.12,23.11,53.21
Recall,14.22,35.26,30.88,29.97,29.78,88.11
F_measure,20.66,36.63,26.21,32.76,26.02,66.35
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_32,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,39.87,39.22,23.22,37.38,24.21,54.97
Recall,14.41,35.64,31.11,30.06,30.78,88.18
F_measure,21.17,37.34,26.59,33.32,27.10,67.72
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_64,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,37.22,39.11,22.97,35.37,22.11,54.67
Recall,12.51,33.97,29.99,28.78,29.47,86.56
F_measure,18.73,36.36,26.01,31.74,25.26,67.01
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_128,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,35.47,39.06,22.27,33.33,20.97,52.21
Recall,12.41,33.07,29.18,28.18,28.79,85.47
F_measure,18.39,35.82,25.26,30.54,24.27,64.82
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_32_&_KERNEL_1,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,31.04,36.02,18.12,25.77,14.22,46.22
Recall,9.22,28.98,24.32,22.19,24.32,79.77
F_measure,14.22,32.12,20.77,23.85,17.95,58.53
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_32_&_KERNEL_3,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,32.15,37.89,20.32,28.22,19.23,49.52
Recall,11.25,30.02,26.32,24.12,26.54,81.03
F_measure,16.67,33.50,22.93,26.01,22.30,61.47
CNN_Performance_STEMMING_&_EMBEDDING_SIZE_32_&_KERNEL_5,Method Calls,Conditionals,Try-Catch,Method Signature,Return,Other
Precision,35.18,40.22,22.47,31.54,24.06,54.29
Recall,14.02,33.33,28.59,26.03,28.99,83.45
