Method Calls,E_SIZE,16,32,64,128,256
Method Calls,Precision,58.58,59.67,60.03,61.57,58.25
Method Calls,Recall,36.01,36.15,36.67,36.97,36.09
Conditionals,E_SIZE,16,32,64,128,256
Conditionals,Precision,50.17,50.77,51.04,52.07,50.28
Conditionals,Recall,55.14,55.32,55.64,55.87,55.23
Try-Catch,E_SIZE,16,32,64,128,256
Try-Catch,Precision,28.34,28.97,30.88,32.03,28.44
Try-Catch,Recall,32.15,32.88,33.07,33.67,32.05
Method_Signature,E_SIZE,16,32,64,128,256
Method_Signature,Precision,51.17,51.67,52.07,52.97,51.22
Method_Signature,Recall,27.24,27.66,28.08,28.88,27.35
Return,E_SIZE,16,32,64,128,256
Return,Precision,36.01,36.47,37.17,38.18,36.16
Return,Recall,32.09,32.19,32.97,33.15,32.29
Other,E_SIZE,16,32,64,128,256
Other,Precision,66.66,67.15,68.14,69.03,66.15
Other,Recall,83.34,83.97,84.55,85.25,83.44
